price,sqft,beds,bath,laundry,pets,housing_type,parking,hood_district
2995,670,1,1, in-unit, cats, multi, no parking,9
4500,1450,2,2, on-site, both, multi, protected,8
4500,1450,2,2, on-site, both, multi, protected,8
3990,500,1,1, in-unit, both, multi, protected,9
2300,600,1,1, on-site, no pets, multi, no parking,10
7500,2500,6,2.5, in-unit, no pets, multi, no parking,9
3290,486,0,1, in-unit, both, multi, protected,9
3090,470,0,1, in-unit, both, multi, protected,9
5290,1442,2,2, in-unit, both, multi, protected,9
3995,1072,2,2, on-site, no pets, multi, protected,8
2990,640,1,1, in-unit, both, multi, protected,9
2790,588,1,1, in-unit, both, multi, protected,9
4590,1050,2,1, in-unit, both, multi, protected,8
4790,1043,2,2, in-unit, both, multi, protected,9
5790,1376,2,2, in-unit, both, multi, protected,9
3990,845,1,1, in-unit, both, multi, protected,9
2890,486,0,1, in-unit, both, multi, protected,9
2490,460,0,1, on-site, both, multi, protected,9
3690,1044,2,2, in-unit, both, multi, protected,9
3990,736,1,1, in-unit, both, multi, protected,9
2450,530,1,1, in-unit, no pets, multi, protected,9
1300,250,0,1, no laundry, no pets, multi, no parking,10
5200,1440,3,2, no laundry, no pets, multi, protected,8
1400,350,0,1, in-unit, no pets, multi, off-street,10
1400,300,0,1, in-unit, no pets, multi, off-street,10
1400,320,0,1, on-site, no pets, multi, no parking,10
4595,1100,3,1, on-site, no pets, multi, no parking,8
3250,950,2,1, no laundry, no pets, multi, no parking,7
1995,550,1,1, on-site, cats, multi, protected,2
3840,799,2,2, on-site, both, multi, protected,5
3250,800,2,1, no laundry, no pets, multi, no parking,9
7000,2012,3,2, in-unit, no pets, single, protected,5
4800,1450,2,2, in-unit, both, multi, protected,8
5400,1250,3,1.5, on-site, cats, multi, no parking,5
4500,1500,3,2, in-unit, both, multi, protected,9
4750,1561,3,1, in-unit, no pets, multi, protected,6
3995,850,1,1, in-unit, no pets, multi, no parking,5
3650,838,1,1.5, in-unit, no pets, multi, protected,9
2100,400,1,1, on-site, cats, multi, no parking,5
4500,1023,1,1, in-unit, both, multi, no parking,7
4750,1038,1,1, in-unit, cats, multi, no parking,7
4295,940,2,2, in-unit, both, multi, no parking,6
2617,650,1,1, in-unit, both, multi, no parking,9
2600,800,1,1, in-unit, cats, multi, no parking,8
2950,600,1,1, on-site, both, multi, no parking,6
2800,700,1,1, in-unit, cats, multi, no parking,8
2795,450,1,1, on-site, no pets, multi, no parking,7
1995,450,0,1, on-site, no pets, multi, no parking,9
3495,1700,3,1, no laundry, no pets, multi, no parking,9
2950,1000,2,1, in-unit, no pets, multi, no parking,5
3895,850,3,1, in-unit, both, multi, no parking,5
1995,400,0,1, no laundry, no pets, multi, no parking,9
2550,750,1,1, no laundry, no pets, multi, off-street,1
2299,550,0,1, on-site, both, multi, no parking,6
2495,900,1,1, on-site, cats, multi, no parking,2
3700,1050,2,1, on-site, both, multi, protected,7
4399,1349,1,1, in-unit, no pets, multi, no parking,9
4500,1500,4,2, on-site, both, multi, no parking,9
3975,925,1,1, in-unit, dogs, multi, protected,8
1290,240,1,1, no laundry, no pets, multi, no parking,1
5000,1250,2,2, in-unit, both, multi, protected,6
2040,840,2,1.5, in-unit, both, multi, no parking,5
6950,1700,5,2, in-unit, no pets, multi, off-street,5
1780,300,1,1, on-site, cats, multi, no parking,8
4550,1000,2,2, on-site, both, multi, no parking,7
4750,1235,2,2.5, in-unit, cats, multi, protected,6
2595,1000,2,1, no laundry, no pets, multi, no parking,8
3950,1600,3,1.5, on-site, no pets, single, protected,10
2900,980,2,1, no laundry, both, multi, no parking,9
3450,950,2,2, in-unit, cats, multi, no parking,9
2250,550,0,1, on-site, cats, multi, no parking,6
5000,1770,2,2.5, in-unit, both, multi, protected,9
2349,620,1,1, in-unit, cats, multi, no parking,8
2066,549,0,1, in-unit, both, multi, no parking,8
3200,1200,2,2, in-unit, both, multi, protected,9
3898,1098,1,1, on-site, no pets, multi, protected,7
4200,1400,3,1, in-unit, no pets, multi, no parking,7
6500,1321,2,2, in-unit, dogs, multi, protected,9
4648,1313,2,2, in-unit, no pets, multi, protected,9
4400,1167,2,1, no laundry, no pets, multi, no parking,9
7200,1274,2,2, in-unit, no pets, multi, protected,9
3500,814,1,1, in-unit, no pets, multi, protected,9
1800,500,0,1, no laundry, no pets, multi, no parking,8
4195,1200,2,1.5, in-unit, both, multi, no parking,5
2800,601,1,1, in-unit, both, multi, protected,8
4000,900,2,1, on-site, both, multi, no parking,9
3135,621,1,1, in-unit, both, multi, no parking,6
2511,647,1,1, in-unit, both, multi, valet,9
3500,781,1,1, in-unit, no pets, multi, protected,8
4595,1182,2,2, in-unit, both, multi, protected,9
3900,1163,2,2, in-unit, both, multi, protected,9
2800,650,2,1, no laundry, no pets, double, no parking,1
2895,491,1,1, in-unit, both, multi, no parking,5
3588,854,1,1, in-unit, no pets, multi, valet,9
3271,860,1,2, in-unit, both, multi, valet,9
